id,lat,lng
A472536,39.07389,-76.99494
A475325,39.13784,-77.15513
A476566,39.05844,-77.05187
A471506,39.05462,-77.064
A468916,39.17023,-77.28401
A475958,38.98858,-77.05768
A459540,39.14425,-77.16635
A474988,39.22166,-77.0859
A472218,38.98669,-77.02154
A475515,39.14777,-77.27012
A474903,39.06384,-77.06463
A468913,39.17023,-77.28401
A476126,39.2656,-77.23633
A474597,39.03611,-77.02823
A476277,39.06171,-77.04822
A475671,39.02109,-77.05058
A468915,39.17023,-77.28401
A475381,39.14126,-77.17436
A476772,39.19876,-77.15604
A474586,39.1761,-77.28004
A475945,38.96927,-77.00056
A475889,39.00971,-76.98031